TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,SALE_PRICE,PRICE_B,BOROUGH_encoded,BUILDING_CLASS_CATEGORY_encoded,BUILDING_CLASS_AT_PRESENT_encoded,TAX_CLASS_AT_TIME_OF_SALE_encoded
2,3563,3901,2010,0,0.0,2.0,1.0,9.0,1.0
2,5000,2000,1930,535000,1.0,2.0,1.0,10.0,1.0
2,5000,2001,1910,150000,0.0,2.0,1.0,10.0,1.0
2,2625,1775,1951,459000,0.0,2.0,1.0,9.0,1.0
2,5258,2821,1951,545000,1.0,2.0,1.0,9.0,1.0
2,2758,3105,1957,645000,1.0,2.0,1.0,9.0,1.0
2,2758,3105,1957,0,0.0,2.0,1.0,9.0,1.0
2,2758,3105,1957,232750,0.0,2.0,1.0,9.0,1.0
2,2323,1734,1965,499000,1.0,2.0,1.0,9.0,1.0
2,2500,1896,1930,0,0.0,2.0,1.0,9.0,1.0
2,1877,1831,1955,425000,0.0,2.0,1.0,9.0,1.0
2,2185,2940,1955,599000,1.0,2.0,1.0,9.0,1.0
2,2185,2940,1955,375000,0.0,2.0,1.0,9.0,1.0
2,4750,2052,1930,0,0.0,2.0,1.0,11.0,1.0
2,2500,2520,1940,546000,1.0,2.0,1.0,9.0,1.0
2,2500,2112,1925,635000,1.0,2.0,1.0,11.0,1.0
2,2500,2112,1925,328000,0.0,2.0,1.0,11.0,1.0
2,2050,2050,2007,575000,1.0,2.0,1.0,9.0,1.0
2,1700,2280,1965,560000,1.0,2.0,1.0,9.0,1.0
2,1868,1900,1955,630000,1.0,2.0,1.0,9.0,1.0
2,1868,1900,1955,300000,0.0,2.0,1.0,9.0,1.0
2,1916,2000,1955,209000,0.0,2.0,1.0,9.0,1.0
2,1710,1651,1955,453000,0.0,2.0,1.0,12.0,1.0
2,1710,1651,1955,270000,0.0,2.0,1.0,12.0,1.0
2,1710,1651,1955,0,0.0,2.0,1.0,12.0,1.0
2,1924,2700,1950,550000,1.0,2.0,1.0,9.0,1.0
2,2375,2700,1950,660000,1.0,2.0,1.0,9.0,1.0
2,2375,2700,1950,408000,0.0,2.0,1.0,9.0,1.0
2,3555,2802,1925,0,0.0,2.0,1.0,10.0,1.0
2,3750,3868,1932,0,0.0,2.0,1.0,10.0,1.0
2,3325,2290,2015,789000,1.0,2.0,1.0,9.0,1.0
