BOROUGH,BUILDING_CLASS_CATEGORY,BUILDING_CLASS_AT_PRESENT,TOTAL_UNITS,LAND_SQUARE_FEET,GROSS_SQUARE_FEET,YEAR_BUILT,TAX_CLASS_AT_TIME_OF_SALE,SALE_PRICE,PRICE_B
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1520,1440,1940,1,251000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1863,1950,1,180000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1713,1505,1965,1,370000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2701,1096,1910,1,420000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1800,1260,1950,1,356000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1800,1690,1955,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2850,1056,1940,1,483000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2850,1056,1940,1,182000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1368,1955,1,370000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1714,1955,1,455000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1714,1955,1,247000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2798,1782,1950,1,579000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2798,1782,1950,1,170000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1539,1950,1,271000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1890,1950,1,217500,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1710,1890,1950,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,2090,948,1960,1,257000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1470,992,1963,1,295000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2267,1116,1955,1,0,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,2502,1224,1935,1,378000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2500,1944,1960,1,499000,1.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,1710,1690,1950,1,454000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A1,1,1710,1690,1950,1,270000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1120,1384,1955,1,270000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1516,1384,1955,1,348000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1120,1384,1955,1,439000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1120,1384,1955,1,238000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2565,1584,1955,1,383250,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,3642,1268,1950,1,10,0.0
2,01 ONE FAMILY DWELLINGS                    ,A2,1,3650,1268,1950,1,1,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2651,1260,1960,1,437000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,2651,1260,1960,1,320000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1723,1116,1955,1,360000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1692,1674,1955,1,393000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1692,1674,1955,1,405000,0.0
2,01 ONE FAMILY DWELLINGS                    ,A5,1,1692,1674,1955,1,245000,0.0
